# key	english
UI/Blueprint	Blueprint
Letter/herbFirstLetter	Do you like flowers, herbs and plants in general? Are you having trouble making friends in the town? Are you tired of urban life and sad men in suits visiting your home? Do you enjoy nature?\nIf any of this is true to you (and I'm sure it is!), please come to the forest during the day. You might meet someone friendly!\n
Letter/herbPill	It seems you didn't achieve what you wanted during your last trip. Take this and have better luck next time!
Letter/minutTittle	Dear Mr. Prepper,
Letter/minutSignature	Yours truly,\nThe Minuteman\n
Letter/minutFirstLetter	You don't know me, but your ambitions have caught my eye. You are an interesting person, Mr. Prepper. And there are not many interesting people in the town these days. \nI know that your little road trip didn't go well. Too bad! But if I may suggest something: go big. And don't stick to land route only. I'm attaching something you may find useful. It's a tried and tested design. It might seem crazy at a first glance, but Prepper, I know you can do it. \nAnd don't be afraid, your secrets are safe with me. And expect more fan mail from me soon!\n
Letter/minutLetter2	I hope my letter finds you well. Do you feel inspired by my last gift?\nI would like to start a small exchange between us, if you'll agree. From time to time, I will send you a letter or a package with some useful information or an item. And I have access to some rather curious supplies and sources, trust me!\nHowever, there are some things that are hard to obtain for me – and here is where I believe you, Mr. Prepper, would help me. \nYou can deliver me things like you would trade them on the local marketplace – I'm sure you'll figure this out.\nAs an icebreaker - I would just love, love to have a jar of blueberry jam! \n\n\n
Letter/minutLetter3	How are you? I have recently taken interest in a certain fascinating topic that can also become timely. However, due to regulations of our wise government – bless the President – obtaining reliable sources on this topic is challenging.\nBut Mr. Prepper, you might have more luck! Please deliver me a good book about nuclear warfare and its consequences. Something non-fiction. I am sure I can make up for all the trouble!\nI am not sure where to obtain unusual books these days, given the Agency's pressure. I think the whole book business must have gone underground.
Letter/minutLetter4	Thank you very much for the book, it was very informative indeed! Now I have a follow-up request: could you bring me a Geiger counter? I am not saying I need to use it right now… but still I would like to learn how to use it, and rather sooner than later. \nThe Geiger counter is already quite an old technology; maybe you'll find one where other old things are?\nI will be grateful!
Letter/minutLetter5	Thank you very much for the Geiger counter! Now I feel much more… prepared. \nRemember my first gift for you? Have you already started constructing your vehicle? I'm sure you'll handle most of it easily, but keep in mind that such technology requires impeccable quality of elements, hard to achieve in our do-it-yourself conditions.\nBut fear not! I happen to know about a device which will help you greatly: an AI-based, highly adaptable rocket control module, together with a top-notch accelerometer.\nI know you can find the control module in Fort Observer, an abandoned military base not far from Murricaville. They used to work on sending things to space there, among other research. I cannot point you to a specific location, unfortunately. But I'm sure you'll find a way, Mr. Prepper!\n\n
Letter/minutLetter6	I'm afraid we are both in trouble. Despite my precautions, there is a certain Agent who has taken interest in me and my recent... investigations. If he keeps snooping around, he might also get to you eventually.\nBut here's how you can help: you could put the Agent in trouble so he gets off our backs. This Agent lives nearby under the name of James FitzPatrick. \nPlant him an illegal item and I'll denounce him to the Agency.\nIt would be best if it was not simply illegal, but... illegal with a flair. To truly impress other Agents.\nI have a feeling the postman would be willing to help with this. He's also not a fan of the Agency. \nRemember, Mr. Prepper, it's for our safety! Our ambitions are too grand to be thwarted by some petty agents!\n
Letter/minutLetterWaterControl	Just a quick note: my source in the Agency tells me that the water usage will be added to the things checked during an inspection. Excessive use may be noticed. Please pay attention!
Letter/minutLetterElectricityControl	Heads up: as our great country has some problems with electricity supply, the Agency plans to start controlling domestic electricity usage. Keep in mind that high consumption may look suspicious. Take care!
Letter/minutLetterCupboardControl	A quick friendly warning: the Agency wants to ramp up the intensity of inspections. Be ready that they might want to look into your cupboards and prepare accordingly.
Letter/minutLetterCupboardControl2	And here I am with another warning: some people in the Agency are determined to prove you really are up to something, and they will look into your cupboards and cabinets even more closely. Be sure to keep anything that might be suspicious out of their sight!
Letter/huntLetterAd	<i><b><pos=20%><size=140%>HUNTER'S CLUB\n<line-height=20%>\n<line-height=100%><pos=10%><size=100%>Everything what the wilderness around Murricaville has to offer! Fresh game from different animals, free-range and ethically shot to death! And if you want to do the hunting yourself – I offer a wide choice of traps & baits.\n<line-height=70%><pos=40%><size=80%>-- Lavinia, your local huntress
Letter/minutLetter7	I regret to inform you that while our small sabotage has worked out brilliantly – Agent FitzPatrick will never bother any citizens again – I am in a dire situation now. We took out the Agent, but the Agency has noticed my special interests anyway. I am in hiding now; I had to leave my job, house, and most of my things. I am not as well prepared for such situations like you, so I need to ask for your help. Could you send me some food? Preferably canned and long-lasting.\nI also need to inform you of something you won't read in the Truth: the international situation is very tense currently. It seems the foreign powers have serious concerns about the real purpose of the Brazen Serpent satellite. It's hard to say how it ends.\nTake care and don't forget about me, Mr. Prepper!\n
Letter/minutLetter8	Thank you very much for the food you sent me! You are my inspiration and guardian angel, Mr. Prepper. \nThis might be the last letter I am sending you and I have one final request. They are coming for me to my hideout. And I need to be prepared: either for forcing my way through them or making my last stand. For that, I need sufficient firepower. A regular handgun will not do.\nDear Mr. Prepper, could you give me an automatic rifle and 100 rounds of ammunition? If I survive the battle, I promise to answer a lot of questions that must be bugging you. If I do not, please remember me dearly, Mr. Prepper.\n
Letter/	
Letter/HalloweenNote	Dear Citizen, Boo-hoo! It's Halloween time!Find the scarecrow! (And please remember to be compliant with security & wellbeing regulations at all times.)
Letter/farmInvitationTittle	Work Order - Farm
Letter/farmInvitation	Dear Citizen,\nin accordance with the Resources & Workforce Allocation Act, you are now assigned to the task of repair and maintenance of the White Sands Farm. Please arrive to the location without any unnecessary delay. \nBless the President,
Letter/farmInvitationSignature	The Agency
Letter/joeUraniumTittle	A New Find
Letter/joeUraniumLetter	Hey, Prepper!\nCome to my junkyard, I have something for you! A very interesting find! It glows in UV light!
Letter/joeSignature	Joe 
Letter/cryoTechNote1	cryoTechNote
Letter/cryoTechNote2	cryoTechNote
Letter/cryoTechNote3	cryoTechNote
Letter/cryoTechNote4	cryoTechNote
Letter/cryoTechNote5	cryoTechNote
Tips/tip	Tip
Tips/tipDefault0	Prepare yourself for the worst
Tips/tipDefault1	You can move items from and into boxes with a double click
Tips/tipDefault1Port	You can move items from and into boxes by press <sprite index=Button2_UIAtlas> on them
Tips/tipDefault2	You can move items from and into boxes with Shift + LMB
Tips/tipDefault2Port	You can move items from and into boxes with <sprite index=Button8_UIAtlas> while holding <sprite index=Button0_UIAtlas>
Tips/tipDefault3	Hold Shift to place items more precisely
Tips/tipDefault3Port	Hold <sprite index=Button26_UIAtlas> to place items more precisely
Tips/tipDefault4	Inspecting items and reading their descriptions can give useful tips
Tips/tipDefault5	Plants can wilt if you don't take care of them
Tips/tipDefault6	Crafting and cooking increases your Preparedness 
Tips/tipDefault7	Planting, watering and harvesting plants increases your Preparedness 
Tips/tipDefault8	Trading increases your Preparedness 
Tips/tipDefault9	Go to sleep early to regenerate more stamina
Tips/tipDefault10	Reading news increases your Preparedness 
Tips/tipDefault11	Keep your stamina and health over 50% to avoid losing Preparedness 
Tips/tipDefault12	You craft faster while your stamina and health are over 50%
Tips/tipDefault13	Disassembling items gives you their blueprints
Tips/tipDefault14	Your stamina decreases faster while you work
Tips/tipDefault15	Your Preparedness decreases slower while you work
Tips/tipDefault16	While dragging a group of items, click RMB to drop one item
Tips/tipDefault16Port	While dragging a group of items, press <sprite index=Button29_UIAtlas> to drop one item
Tips/tipMines1	You can melt stone into glass in a furnace
Tips/tipDefault17	Some items in locations respawn over time
Tips/tipDesert1	You can disassemble grenades
Tips/tipDesert2	Scavenging the desert is a good source of many materials. The farther you go, the better the loot
Tips/tipDefault18	Level up traders to unlock new ones
Tips/tipDefault19	Always read letters
Tips/tipMines2	You need a mining helmet to see in the dark
Tips/tipDesert3	Some NPCs appear only at night
Tips/tipDefault20	Read your journal if you get lost
Tips/tipDefault21	Most items can be used quickly with LMB
Tips/tipDefault21Port	Most items can be used quickly with <sprite index=Button0_UIAtlas>
Tips/tipDefault22	Double-click on an action in the context menu of an item to run to it and perform the action
Tips/tipDefault22Port	Double-press <sprite index=Button0_UIAtlas> on an action in the context menu of an item to run to it and perform the action
Tips/tipDefault23	Hold Left Ctrl to speed up time
Tips/tipDefault24	You can destroy rooms in the building mode by clicking the red cross button
Tips/tipDefault24Port	You can destroy rooms in the building mode by selecting the red cross
Tips/tipForest1	Take a look at a note on the traps sign to get an idea of a kind of loot you can get in this area
Tips/tipDefault25	
Tips/tipAgent1	If your suspicion level is high it will take multiple visits to bring it back down
Tips/tipAgent2	You can get the positive Agent buff only if your suspicion level is at 0 
Tips/tipAgent3	If you were a good citizen for a long time, Agent may turn a blind eye
Tips/tipAgent4	Power of negative agent buff is dependent on your suspicion level
Tips/tipFaint1	You can reload one of last 30 days after you faint four times
Tips/tipFaint2	You can get rid of after-faint debuff by sleeping
Tips/	
Tips/tipFarm1	Hamsters can help you generate power 
Tips/tipFarm2	Plant flowers in a room with beehive so the bees can produce some honey
Tips/tipFarm3	Cows produce more milk than goats 
Tips/tipFarm4	You can kill animals to get meat - but please don't 
Tips/tipFarm5	You can breed animals - take good care of them and leave extra space in room for the offspring! 
Tips/tipFarm6	Breeding and selling animals can be a good business
Tips/tipFarm7	Different animal variants can breed with each other without any issues
Tips/tipFarm8	Animals need enough space to live. Fences and room borders restrict their living space
Tips/tipFarm9	If the needs of animals are not satisfied, they won't produce anything and won't be able to breed
Tips/tipFarm10	You can buy a book with new cooking recipes from Will 
Tips/tipFarm11	Will sells different animals on higher trade levels
Tips/tipFarm12	You can fillet fish to eat them. Some fish turn to baits instead of food when filleted 
Tips/tipMaze1	The night maze opens at 6 PM every day 
Tips/tipMaze2	The night maze is harder, but gives better rewards 
Tips/tipMaze3	Use the map to avoid Skull rooms
Tips/tipFishingLakeSign1	Fish have their preferences regarding weather, time of day and other things
Tips/tipFishingLakeSign2	You can check the weather forecast on the radio
Tips/tipFishingLakeSign3	If you are hunting for a specific fish, read about its preferences on an info board near the lake
Tips/tipFishingLakeSign4	Not every fish likes the same thing - choose your baits well
Tips/tipAnimalsXeno1	The more Xeno trusts you, the more activities he is willing to do
Tips/tipAnimalsXeno2	Activities with Xeno increase his trust level
Tips/tipAnimalsXeno3	Remember to meet Xeno's needs, otherwise he will be forced to meet them elsewhere
Tips/tipAnimalsXeno4	Xeno is very fond of rat meat treats
Tips/tipNuclear1	If you equip your Geiger Counter, it will automatically open when it detects a source of radiation.
Tips/tipNuclear2	Radiated items are hidden everywhere! Use a Geiger Counter to find them.
Tips/tipNuclear3	Anti-radiation extract is the best method to quickly reduce the Prepper's radiation level.
Tips/tipNuclear4	Nap, sleep or eat to reduce Prepper's radiation level.
Tips/tipNuclear5	You can safely keep Nuclear Material in your inventory. Its radiation level is too small to affect you.
Tips/tipNuclear6	Keeping irradiated items in your inventory makes the Prepper's radiation level grow.
Tips/tipNuclear7	Some of the irradiated items can respawn. 
Tips/tipNuclear8	Dr Edward, the scientist, can give you recipes for items that automate planting and harvesting. 
Tips/tipNuclear9	Use a Pitter to get seeds out of fruits, vegetables and other items.
Tips/tipNuclear10	Keep irradiated items away from food and plants.
Tips/tipNuclear11	Centrifuge can be used to clear some items of radiation.
Tips/tipNuclear12	If you don't know where to find an item from a Scientist's Request, just ask him!
Tips/tipNuclear13	Crane Minigame price resets every day.
Tutorial/FirstFight1	Combat: [Q] - attack left, [E] - attack right
Tutorial/FirstFight2	Move away to dodge wolfthem.
Tutorial/FirstFight3	Hold <color=yellow>Left Control</color> to block the wolf's attacks
Tutorial/FirstFight3Port	Hold <sprite index=Button26_UIAtlas> to block the wolf's attacks
Tutorial/FirstFight4	or move away to dodge them.
Tutorial/FirstFight5	Use your bat in fight.
Tutorial/FirstFight6	Good luck!
Tutorial/FirstFightAddon1	Oh wait--
Tutorial/FirstFightAddon2	--you don't have a baseball bat!
Tutorial/FirstFightAddon3	In this case...
Tutorial/FirstFightAddon4	...you should RUN!
Tutorial/tt1	Tutorial
Tutorial/tt2	Controls
Tutorial/tt3	Nap time
Tutorial/tt4	Hunger
Tutorial/tt5	Preparedness
Tutorial/tt6	New escape plan
Tutorial/tt7	Build a bunker
Tutorial/tt8	Old friend
Tutorial/tt9	Workbench
Tutorial/tt10	Trading
Tutorial/tt11	Forest
Tutorial/tt12	Collecting
Tutorial/tt13	Back home
